"dataset_id"	"dataset_titulo"	"estado_id"	"municipio_id"	"observacao_id"	"data_coleta_dia"	"data_coleta_mes"	"data_coleta_ano"
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Campos Novos"	"C-SC-08"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Campos Novos"	"C-SC-10"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Fraiburgo"	"C-SC-15"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Curitibanos"	"C-SC-17"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Bom Jardim da Serra"	"C-SC-21"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Criciúma"	"C-SC-22"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Tubarão"	"C-SC-25"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Laguna"	"C-SC-27"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Benedito Novo"	"C-SC-30"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Dr Pedrinho"	"C-SC-31"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Itajaí"	"C-SC-35*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Erval Velho"	"C-SC-7"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Tubarão"	"E-024*"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Descanso"	"E.001"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Itapiranga"	"E.002"	NA	NA	NA
"https://www.pedometria.org/febr/ctb0572/"	"Solos do Estado de Santa Catarina"	"SC"	"Ituporanga"	"E.003*"	NA	NA	NA
