id,carbono_estoque_g.m2,data_coleta_ano,coord_x,coord_y,espessura,FOREST,NONFOREST,PASTURE,AGRICULTURE,FORESTRY,NONVEGETATION,data_coleta_ano
ctb0003-sm-dnos-098,6210,2009,-53.807257,-29.657608,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-099,2491,2009,-53.80759,-29.656464,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-100,6361,2009,-53.809483,-29.655057,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-101,3067,2009,-53.810455,-29.653456,17.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-102,6955,2009,-53.813868,-29.653407,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-103,5213,2009,-53.815807,-29.651554,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-104,5216,2009,-53.817632,-29.649864,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-105,4192,2009,-53.818873,-29.647536,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-106,6293,2009,-53.820936,-29.647208,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-107,10627,2009,-53.819961,-29.644967,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-108,5184,2009,-53.817577,-29.645775,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-109,3758,2009,-53.816721,-29.644392,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-110,6782,2009,-53.816153,-29.646251,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-111,6010,2009,-53.816611,-29.648404,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-112,5600,2009,-53.811275,-29.6551,20,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-113,3542,2009,-53.807366,-29.653931,15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
ctb0003-sm-dnos-114,2268,2009,-53.808993,-29.651437,20,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-115,5281,2009,-53.812923,-29.649653,15,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2009
ctb0003-sm-dnos-116,1584,2009,-53.813232,-29.65128,20,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2009
