"id","carbono_estoque_kgm2","data_coleta_ano","coord_x","coord_y"
"ctb0003-sm-dnos-156",5.47,2009,-53.775819,-29.630383
"ctb0003-sm-dnos-157",6.5,2009,-53.771754,-29.630468
"ctb0003-sm-dnos-158",5.36,2009,-53.772261,-29.627864
"ctb0003-sm-dnos-159",2.7,2009,-53.793845,-29.641301
"ctb0003-sm-dnos-160",5.33,2009,-53.795824,-29.63928
"ctb0003-sm-dnos-161",2.98,2009,-53.792181,-29.639704
"ctb0003-sm-dnos-162",3.4,2009,-53.793533,-29.637754
"ctb0003-sm-dnos-163",2.76,2009,-53.791644,-29.637043
"ctb0003-sm-dnos-164",3.61,2009,-53.79277,-29.634679
"ctb0003-sm-dnos-165",2.66,2009,-53.793491,-29.632815
"ctb0003-sm-dnos-166",1.62,2009,-53.792412,-29.632731
"ctb0003-sm-dnos-167",2.77,2009,-53.789929,-29.631019
"ctb0003-sm-dnos-168",11.35,2009,-53.789562,-29.633504
"ctb0003-sm-dnos-169",2.95,2009,-53.808173,-29.640348
"ctb0003-sm-dnos-170",1.93,2009,-53.791219,-29.659826
"ctb0003-sm-dnos-171",1.65,2009,-53.791357,-29.661561
"ctb0003-sm-dnos-172",1.81,2009,-53.790273,-29.661112
"ctb0003-sm-dnos-173",4.24,2009,-53.788316,-29.660327
"ctb0003-sm-dnos-174",2.84,2009,-53.791491,-29.657305
"ctb0003-sm-dnos-175",3.39,2009,-53.788747,-29.656993
"ctb0003-sm-dnos-176",2.29,2009,-53.785327,-29.65311
"ctb0003-sm-dnos-177",5.87,2009,-53.783219,-29.651386
"ctb0003-sm-dnos-178",4.08,2009,-53.783879,-29.649234
"ctb0003-sm-dnos-179",3.25,2009,-53.780514,-29.648612
"ctb0003-sm-dnos-180",4.18,2009,-53.778733,-29.646016
"ctb0003-sm-dnos-181",4.84,2009,-53.777791,-29.644165
"ctb0003-sm-dnos-182",2.4,2009,-53.77652,-29.642462
"ctb0003-sm-dnos-183",1.39,2009,-53.772698,-29.64255
"ctb0003-sm-dnos-184",7.18,2009,-53.773951,-29.632775
"ctb0003-sm-dnos-185",4.55,2009,-53.77524,-29.62796
"ctb0003-sm-dnos-186",2.83,2009,-53.779236,-29.630274
"ctb0003-sm-dnos-187",5.39,2009,-53.779139,-29.628052
"ctb0003-sm-dnos-188",6.26,2009,-53.783342,-29.627437
"ctb0003-sm-dnos-189",4.34,2009,-53.785368,-29.628124
"ctb0003-sm-dnos-190",3.08,2009,-53.785349,-29.625145
"ctb0003-sm-dnos-191",5.8,2009,-53.787398,-29.62342
"ctb0003-sm-dnos-192",6.35,2009,-53.788318,-29.621231
"ctb0003-sm-dnos-193",3.66,2009,-53.790046,-29.61797
"ctb0003-sm-dnos-194",6.16,2009,-53.7917,-29.615567
"ctb0003-sm-dnos-195",5.85,2009,-53.793258,-29.618216
"ctb0003-sm-dnos-196",5.75,2009,-53.795506,-29.614269
"ctb0003-sm-dnos-197",6.03,2009,-53.793946,-29.611541
"ctb0003-sm-dnos-198",4.89,2009,-53.796737,-29.61049
"ctb0003-sm-dnos-199",5.02,2009,-53.798536,-29.612433
"ctb0003-sm-dnos-200",6.39,2009,-53.796745,-29.616664
"ctb0003-sm-dnos-201",5.83,2009,-53.797217,-29.619087
"ctb0003-sm-dnos-202",3.17,2009,-53.789514,-29.625137
"ctb0003-sm-dnos-203",3.8,2009,-53.791354,-29.624543
"ctb0003-sm-dnos-204",9.19,2009,-53.792262,-29.620957
"ctb0003-sm-dnos-205",3.02,2009,-53.795304,-29.621054
"ctb0003-sm-dnos-206",4.82,2009,-53.79328,-29.624849
"ctb0003-sm-dnos-207",7.36,2009,-53.797944,-29.624563
"ctb0003-sm-dnos-208",4.3,2009,-53.798718,-29.621531
"ctb0003-sm-dnos-209",7.01,2009,-53.80126,-29.628894
"ctb0003-sm-dnos-210",4.93,2009,-53.800734,-29.624383
"ctb0003-sm-dnos-211",7.29,2009,-53.801974,-29.622385
"ctb0003-sm-dnos-212",4.75,2009,-53.805302,-29.622928
"ctb0003-sm-dnos-213",3.49,2009,-53.804503,-29.620519
"ctb0003-sm-dnos-214",7.59,2009,-53.801228,-29.618387
"ctb0003-sm-dnos-215",4.47,2009,-53.822924,-29.623346
"ctb0003-sm-dnos-216",7.53,2009,-53.819207,-29.621771
"ctb0003-sm-dnos-217",4.69,2009,-53.816321,-29.620647
"ctb0003-sm-dnos-218",6.89,2009,-53.817553,-29.616431
"ctb0003-sm-dnos-219",6.38,2009,-53.816231,-29.618045
"ctb0003-sm-dnos-220",7.26,2009,-53.813617,-29.614749
"ctb0003-sm-dnos-221",6.73,2009,-53.812664,-29.616864
